Menu Type,Menu Depth,Input Style,Target Item
Radial,1,Trackpad,Continents
Radial,1,Trackpad,Food
Radial,1,Trackpad,Animals
Radial,1,Trackpad,Clothing
Radial,2,Trackpad,Meat
Radial,2,Trackpad,Fruit
Radial,2,Trackpad,Tops
Radial,2,Trackpad,Asia
Radial,3,Trackpad,England
Radial,3,Trackpad,Beret
Radial,3,Trackpad,Cheese
Radial,3,Trackpad,Dogs
Radial,1,Mouse,Clothing
Radial,1,Mouse,Continents
Radial,1,Mouse,Animals
Radial,1,Mouse,Food
Radial,2,Mouse,America
Radial,2,Mouse,Mammals
Radial,2,Mouse,Bottoms
Radial,2,Mouse,Vegetables
Radial,3,Mouse,Snake
Radial,3,Mouse,Pineapple
Radial,3,Mouse,Pork
Radial,3,Mouse,Jeans
Marking,1,Trackpad,Clothing
Marking,1,Trackpad,Animals
Marking,1,Trackpad,Continents
Marking,1,Trackpad,Food
Marking,2,Trackpad,Reptiles
Marking,2,Trackpad,Europe
Marking,2,Trackpad,Shoes
Marking,2,Trackpad,Dairy
Marking,3,Trackpad,Leggings
Marking,3,Trackpad,Japan
Marking,3,Trackpad,Beef
Marking,3,Trackpad,Crocodile
Marking,1,Mouse,Animals
Marking,1,Mouse,Food
Marking,1,Mouse,Clothing
Marking,1,Mouse,Continents
Marking,2,Mouse,Fish
Marking,2,Mouse,Bottoms
Marking,2,Mouse,Tops
Marking,2,Mouse,Africa
Marking,3,Mouse,Tophat
Marking,3,Mouse,Hamster
Marking,3,Mouse,Butter
Marking,3,Mouse,Skirt
